Sampling date,Dissolved_fluoride,Dissolved_chloride,Dissolved_nitrite
2012-03-27,0.22,69.66,0.04
2012-04-03,0.19,72.22,0
2012-04-10,0.18,87.63,0
2012-04-17,0.24,72.93,0.17
2012-04-24,0.29,57.89,0.05
2012-05-01,0.28,27.94,0
2012-05-08,0.29,41.78,0.01
2012-05-14,0.35,37.78,0
2012-05-22,0.27,50.06,0.06
2012-05-29,0.23,53.9,0
2012-06-06,0.22,39,0.09
2012-06-12,0.23,29.93,0.03
2012-06-19,0.25,32.42,0.08
2012-06-25,0.27,31.67,0.04
2012-07-03,0.24,48.07,0.17
2012-07-10,0.23,39.61,0
2012-07-16,0.3,25.02,0.02
2012-07-24,0.31,42.06,0.76
2012-07-31,0.2,48.72,0.05
2012-08-07,0.19,46.03,0.02
2012-08-14,0.18,54.18,0.06
2012-08-21,0.18,50.08,0.07
2012-08-28,0.15,57.3,0.07
2012-09-04,0.18,48.82,0.06
2012-09-11,0.18,62.6,0.06
2012-09-18,0.17,59.51,0.07
2012-09-24,0.18,59.11,0.09
2012-10-01,0.27,47.17,0.08
2012-10-08,0.34,32.47,0.03
2012-10-16,0.29,42.48,0.08
2012-10-23,0.34,34.62,0.07
2012-10-29,0.22,42.33,0.08
2012-11-06,0.23,26.74,0.07
2012-11-12,0.25,35.99,0.12
2012-11-19,0.23,39.24,0.09
2012-11-26,0.3,22.49,0.02
2012-12-04,0.28,36.32,0.11
2012-12-11,0.42,38.83,0.13
2012-12-17,0.3,30.03,0.09
2013-01-07,0.35,35.2,0.16
2013-01-14,0.23,41.66,0.09
2013-01-21,0.22,68.92,0.03
2013-01-28,0.25,31.73,0.04
2013-02-04,0.37,36.16,0.06
2013-02-11,0.25,38.22,0.03
2013-02-18,0.28,35.47,0.08
2013-02-25,0.14,43.73,0.09
